alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-08-05T00:00:00Z,NA,456.54535,Unknown / Unidentified,Other,5,Central Valley,74899.613,9.8,23.6,1.428,0.1056,33.9682
1980-08-05T00:00:00Z,NA,745.18787,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.1,0,0.0303,1.0883,597.3575
1980-08-06T00:00:00Z,1980-08-06T00:00:00Z,34.728592,Smoking,Human,3,North Sierran,21000.148,0.7,14.3,0.5529,0.1897,9.5967
1980-08-08T00:00:00Z,NA,227.57558,Unknown / Unidentified,Other,5,Central Valley,74899.613,0.1,25.2,2.334,0.3638,96.7062
1980-08-08T00:00:00Z,NA,277.38632,Unknown / Unidentified,Other,5,Central Valley,74899.613,0,24.2,2.3608,0.3715,102.5796
1980-08-08T00:00:00Z,NA,656.36078,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,0,0,0.5323,1.1373,771.1036
1980-08-08T00:00:00Z,NA,145.36722,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,0,0,0.5511,1.1231,766.3264
1980-08-08T00:00:00Z,NA,500.595,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0,1.3,0.0441,0.8339,311.5815
1980-08-08T00:00:00Z,NA,354.54211,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,20.7,23.2,0.2374,0.0533,12.7777
1980-08-09T00:00:00Z,NA,245.3475,Unknown / Unidentified,Other,5,Central Valley,74899.613,7,4.3,2.4841,0.4006,156.2089
1980-08-10T00:00:00Z,NA,734.09924,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,16.6,16,0.3142,0.2438,75.0883
1980-08-11T00:00:00Z,1980-08-12T00:00:00Z,69.961197,Lightning,Natural,7,South Coast and Montane,42488.862,7.5,5.2,0.1268,0.6084,72.9753
1980-08-13T00:00:00Z,NA,2414.2297,Unknown / Unidentified,Other,1,North Coast and Montane,64191.163,0,16.6,0.9241,0.1993,24.0221
1980-08-13T00:00:00Z,1980-08-14T00:00:00Z,109.0892,Arson,Human,5,Central Valley,74899.613,26.8,25.6,1.8837,0.3049,71.4466
1980-08-13T00:00:00Z,1980-08-16T00:00:00Z,273.53049,Arson,Human,1,North Coast and Montane,64191.163,0,49,0.7379,0.037,1.4978
1980-08-14T00:00:00Z,NA,284.01364,Unknown / Unidentified,Other,3,North Sierran,21000.148,0.6,46.5,0.2623,0.0947,2.9067
1980-08-14T00:00:00Z,1980-08-19T00:00:00Z,838.01343,Arson,Human,3,North Sierran,21000.148,0.1,47.4,0.2591,0.0921,2.9523
